LMacro_01,LMacro_02,LMacro_03,LMacro_04,LMacro_05,LMacro_06,LMacro_07,LMacro_08,RMacro_01,RMacro_02,RMacro_03,RMacro_04,RMacro_05,RMacro_06,RMacro_07,RMacro_08
-129.60120000000097,-84.64379999999801,-80.92979999999807,-42.31339999999909,-10.347000000001572,-2.449799999998504,8.654999999998836,13.102599999998347,16.185199999999895,-38.64380000000165,-30.368999999998778,22.54819999999745,21.745999999999185,17.673600000001898,2.5864000000001397,7.660400000000664
-124.60120000000097,-79.64379999999801,-75.92979999999807,-40.31339999999909,-8.347000000001572,-0.44979999999850406,10.654999999998836,17.102599999998347,19.185199999999895,-36.64380000000165,-27.368999999998778,23.54819999999745,22.745999999999185,20.673600000001898,4.58640000000014,9.660400000000664
-120.60120000000097,-75.64379999999801,-74.92979999999807,-39.31339999999909,-6.347000000001572,1.550200000001496,10.654999999998836,18.102599999998347,19.185199999999895,-37.64380000000165,-26.368999999998778,23.54819999999745,22.745999999999185,21.673600000001898,5.58640000000014,9.660400000000664
-119.60120000000097,-74.64379999999801,-73.92979999999807,-39.31339999999909,-5.347000000001572,1.550200000001496,10.654999999998836,17.102599999998347,18.185199999999895,-38.64380000000165,-27.368999999998778,22.54819999999745,21.745999999999185,19.673600000001898,4.58640000000014,9.660400000000664
-117.60120000000097,-72.64379999999801,-72.92979999999807,-37.31339999999909,-5.347000000001572,1.550200000001496,11.654999999998836,17.102599999998347,17.185199999999895,-39.64380000000165,-28.368999999998778,23.54819999999745,21.745999999999185,18.673600000001898,4.58640000000014,8.660400000000664
-113.60120000000097,-68.64379999999801,-67.92979999999807,-32.31339999999909,-4.347000000001572,4.550200000001496,12.654999999998836,20.102599999998347,19.185199999999895,-36.64380000000165,-27.368999999998778,25.54819999999745,22.745999999999185,20.673600000001898,5.58640000000014,10.660400000000664
-107.60120000000097,-63.64379999999801,-61.92979999999807,-26.313399999999092,-2.3470000000015716,7.550200000001496,14.654999999998836,24.102599999998347,21.185199999999895,-32.64380000000165,-24.368999999998778,28.54819999999745,25.745999999999185,23.673600000001898,9.58640000000014,12.660400000000664
-102.60120000000097,-58.64379999999801,-56.92979999999807,-22.313399999999092,1.6529999999984284,11.550200000001496,16.654999999998836,26.102599999998347,22.185199999999895,-30.643800000001647,-21.368999999998778,30.54819999999745,28.745999999999185,26.673600000001898,13.58640000000014,14.660400000000664
-99.60120000000097,-54.64379999999801,-54.92979999999807,-21.313399999999092,3.6529999999984284,14.550200000001496,17.654999999998836,27.102599999998347,21.185199999999895,-30.643800000001647,-20.368999999998778,31.54819999999745,30.745999999999185,26.673600000001898,15.58640000000014,15.660400000000664
-98.60120000000097,-51.64379999999801,-52.92979999999807,-22.313399999999092,5.652999999998428,14.550200000001496,18.654999999998836,26.102599999998347,20.185199999999895,-32.64380000000165,-20.368999999998778,30.54819999999745,30.745999999999185,25.673600000001898,15.58640000000014,15.660400000000664
-97.60120000000097,-50.64379999999801,-51.92979999999807,-22.313399999999092,4.652999999998428,12.550200000001496,19.654999999998836,26.102599999998347,18.185199999999895,-33.64380000000165,-22.368999999998778,29.54819999999745,30.745999999999185,24.673600000001898,13.58640000000014,14.660400000000664
-96.60120000000097,-50.64379999999801,-51.92979999999807,-22.313399999999092,2.6529999999984284,9.550200000001496,17.654999999998836,25.102599999998347,17.185199999999895,-34.64380000000165,-23.368999999998778,27.54819999999745,28.745999999999185,23.673600000001898,10.58640000000014,12.660400000000664
-97.60120000000097,-51.64379999999801,-52.92979999999807,-22.313399999999092,0.6529999999984284,6.550200000001496,15.654999999998836,23.102599999998347,15.185199999999895,-35.64380000000165,-25.368999999998778,24.54819999999745,26.745999999999185,22.673600000001898,7.58640000000014,9.660400000000664
-98.60120000000097,-52.64379999999801,-53.92979999999807,-21.313399999999092,-1.3470000000015716,5.550200000001496,11.654999999998836,19.102599999998347,12.185199999999895,-37.64380000000165,-26.368999999998778,23.54819999999745,24.745999999999185,20.673600000001898,4.58640000000014,6.660400000000664
-99.60120000000097,-53.64379999999801,-53.92979999999807,-21.313399999999092,-2.3470000000015716,5.550200000001496,9.654999999998836,16.102599999998347,10.185199999999895,-39.64380000000165,-27.368999999998778,21.54819999999745,23.745999999999185,18.673600000001898,3.5864000000001397,4.660400000000664
-100.60120000000097,-54.64379999999801,-52.92979999999807,-22.313399999999092,-3.3470000000015716,4.550200000001496,7.654999999998836,14.102599999998347,9.185199999999895,-42.64380000000165,-28.368999999998778,21.54819999999745,22.745999999999185,17.673600000001898,0.5864000000001397,2.6604000000006636
-102.60120000000097,-56.64379999999801,-53.92979999999807,-23.313399999999092,-4.347000000001572,2.550200000001496,6.654999999998836,12.102599999998347,8.185199999999895,-44.64380000000165,-28.368999999998778,20.54819999999745,20.745999999999185,16.673600000001898,-1.4135999999998603,0.6604000000006636
-105.60120000000097,-59.64379999999801,-55.92979999999807,-25.313399999999092,-7.347000000001572,-1.449799999998504,5.654999999998836,9.102599999998347,7.185199999999895,-45.64380000000165,-28.368999999998778,19.54819999999745,19.745999999999185,14.673600000001898,-4.41359999999986,-0.33959999999933643
