LMacro_01,LMacro_02,LMacro_03,LMacro_04,LMacro_05,LMacro_06,LMacro_07,LMacro_08,RMacro_01,RMacro_02,RMacro_03,RMacro_04,RMacro_05,RMacro_06,RMacro_07,RMacro_08
-86.82080000000133,-74.12039999999979,-47.00540000000183,-28.29559999999765,-26.644200000002456,-20.740599999997357,-15.459000000002561,-1.4765999999999622,-68.01759999999922,0.919000000001688,25.95640000000276,3.900999999998021,-16.89320000000589,4.34939999999915,22.969200000006822,7.623200000001816
-87.82080000000133,-75.12039999999979,-48.00540000000183,-29.29559999999765,-27.644200000002456,-21.740599999997357,-16.45900000000256,-1.4765999999999622,-70.01759999999922,-1.080999999998312,24.95640000000276,2.900999999998021,-18.89320000000589,3.34939999999915,20.969200000006822,6.623200000001816
-87.82080000000133,-75.12039999999979,-49.00540000000183,-30.29559999999765,-28.644200000002456,-20.740599999997357,-16.45900000000256,-1.4765999999999622,-70.01759999999922,-1.080999999998312,23.95640000000276,1.900999999998021,-18.89320000000589,2.34939999999915,20.969200000006822,6.623200000001816
-86.82080000000133,-75.12039999999979,-49.00540000000183,-30.29559999999765,-28.644200000002456,-18.740599999997357,-15.459000000002561,-0.47659999999996217,-67.01759999999922,1.919000000001688,24.95640000000276,3.900999999998021,-17.89320000000589,4.34939999999915,23.969200000006822,8.623200000001816
-84.82080000000133,-73.12039999999979,-46.00540000000183,-28.29559999999765,-26.644200000002456,-17.740599999997357,-12.459000000002561,0.5234000000000378,-62.01759999999922,6.919000000001688,26.95640000000276,7.900999999998021,-13.89320000000589,8.34939999999915,27.969200000006822,11.623200000001816
-82.82080000000133,-70.12039999999979,-44.00540000000183,-25.29559999999765,-23.644200000002456,-15.740599999997357,-10.459000000002561,1.5234000000000378,-60.01759999999922,9.919000000001688,29.95640000000276,9.900999999998021,-9.89320000000589,10.34939999999915,30.969200000006822,13.623200000001816
-81.82080000000133,-69.12039999999979,-43.00540000000183,-23.29559999999765,-21.644200000002456,-15.740599999997357,-9.459000000002561,3.523400000000038,-59.01759999999922,10.919000000001688,30.95640000000276,10.900999999998021,-7.893200000005891,11.34939999999915,30.969200000006822,13.623200000001816
-81.82080000000133,-69.12039999999979,-44.00540000000183,-22.29559999999765,-21.644200000002456,-14.740599999997357,-9.459000000002561,3.523400000000038,-59.01759999999922,10.919000000001688,30.95640000000276,10.900999999998021,-7.893200000005891,10.34939999999915,30.969200000006822,13.623200000001816
-80.82080000000133,-69.12039999999979,-45.00540000000183,-23.29559999999765,-21.644200000002456,-14.740599999997357,-9.459000000002561,4.523400000000038,-59.01759999999922,11.919000000001688,30.95640000000276,9.900999999998021,-7.893200000005891,10.34939999999915,30.969200000006822,14.623200000001816
-80.82080000000133,-70.12039999999979,-45.00540000000183,-25.29559999999765,-21.644200000002456,-14.740599999997357,-10.459000000002561,3.523400000000038,-59.01759999999922,13.919000000001688,29.95640000000276,9.900999999998021,-9.89320000000589,10.34939999999915,30.969200000006822,14.623200000001816
-81.82080000000133,-71.12039999999979,-45.00540000000183,-25.29559999999765,-21.644200000002456,-16.740599999997357,-11.459000000002561,1.5234000000000378,-59.01759999999922,12.919000000001688,28.95640000000276,9.900999999998021,-10.89320000000589,9.34939999999915,29.969200000006822,13.623200000001816
-82.82080000000133,-73.12039999999979,-46.00540000000183,-25.29559999999765,-22.644200000002456,-18.740599999997357,-12.459000000002561,0.5234000000000378,-61.01759999999922,9.919000000001688,26.95640000000276,7.900999999998021,-12.89320000000589,7.34939999999915,28.969200000006822,12.623200000001816
-84.82080000000133,-74.12039999999979,-48.00540000000183,-25.29559999999765,-24.644200000002456,-19.740599999997357,-13.459000000002561,-0.47659999999996217,-62.01759999999922,6.919000000001688,24.95640000000276,5.900999999998021,-14.89320000000589,6.34939999999915,26.969200000006822,10.623200000001816
-84.82080000000133,-75.12039999999979,-50.00540000000183,-26.29559999999765,-25.644200000002456,-20.740599999997357,-14.459000000002561,-1.4765999999999622,-63.01759999999922,5.919000000001688,24.95640000000276,4.900999999998021,-14.89320000000589,5.34939999999915,25.969200000006822,9.623200000001816
-84.82080000000133,-75.12039999999979,-51.00540000000183,-28.29559999999765,-25.644200000002456,-20.740599999997357,-15.459000000002561,-2.476599999999962,-62.01759999999922,7.919000000001688,23.95640000000276,3.900999999998021,-14.89320000000589,5.34939999999915,25.969200000006822,9.623200000001816
-85.82080000000133,-75.12039999999979,-52.00540000000183,-30.29559999999765,-25.644200000002456,-20.740599999997357,-16.45900000000256,-3.476599999999962,-62.01759999999922,8.919000000001688,23.95640000000276,3.900999999998021,-13.89320000000589,5.34939999999915,25.969200000006822,9.623200000001816
-87.82080000000133,-77.12039999999979,-52.00540000000183,-31.29559999999765,-26.644200000002456,-21.740599999997357,-16.45900000000256,-4.476599999999962,-63.01759999999922,8.919000000001688,23.95640000000276,3.900999999998021,-13.89320000000589,4.34939999999915,25.969200000006822,9.623200000001816
