LAF_1,LAF_2,LAF_3,LAF_4,LAF_5,LAF_6,LTG_01,LTG_02,LTG_03,LTG_04,LTG_05,LTG_06,LTG_07,LTG_08,LTG_09,LTG_10,LTG_11,LTG_12,LTG_13,LTG_14,LTG_15,LTG_16,LTG_17,LTG_18,LTG_19,LTG_20,LTG_21,LTG_22,LTG_23,LTG_24
-198.63460000000032,-292.29359999999997,-165.98239999999987,-168.51080000000002,-115.22780000000057,-72.57359999999971,-14.07339999999931,95.29500000000007,41.53739999999925,-166.01820000000043,4.46980000000076,68.25300000000061,-1.164600000000064,-11.443199999999706,98.69839999999931,-38.46240000000034,-94.78000000000065,-97.37299999999959,29.78399999999965,53.031199999999444,20.482200000000375,-10.751399999999194,-42.86880000000019,-205.35020000000077,-100.76579999999922,-54.853800000000774,-59.85360000000037,-16.40860000000066,-9.443199999999706,-18.51599999999962
-199.63460000000032,-292.29359999999997,-166.98239999999987,-168.51080000000002,-115.22780000000057,-72.57359999999971,-15.07339999999931,95.29500000000007,37.53739999999925,-166.01820000000043,4.46980000000076,67.25300000000061,-1.164600000000064,-11.443199999999706,97.69839999999931,-41.46240000000034,-93.78000000000065,-98.37299999999959,28.78399999999965,52.031199999999444,19.482200000000375,-12.751399999999194,-42.86880000000019,-205.35020000000077,-99.76579999999922,-53.853800000000774,-60.85360000000037,-18.40860000000066,-10.443199999999706,-18.51599999999962
-200.63460000000032,-292.29359999999997,-167.98239999999987,-169.51080000000002,-114.22780000000057,-72.57359999999971,-14.07339999999931,96.29500000000007,36.53739999999925,-165.01820000000043,4.46980000000076,66.25300000000061,-2.164600000000064,-12.443199999999706,97.69839999999931,-44.46240000000034,-92.78000000000065,-98.37299999999959,28.78399999999965,51.031199999999444,19.482200000000375,-12.751399999999194,-41.86880000000019,-205.35020000000077,-97.76579999999922,-51.853800000000774,-61.85360000000037,-18.40860000000066,-10.443199999999706,-19.51599999999962
-202.63460000000032,-293.29359999999997,-168.98239999999987,-169.51080000000002,-114.22780000000057,-72.57359999999971,-11.07339999999931,99.29500000000007,34.53739999999925,-162.01820000000043,4.46980000000076,66.25300000000061,-2.164600000000064,-13.443199999999706,98.69839999999931,-48.46240000000034,-91.78000000000065,-99.37299999999959,28.78399999999965,49.031199999999444,20.482200000000375,-11.751399999999194,-39.86880000000019,-202.35020000000077,-93.76579999999922,-49.853800000000774,-62.85360000000037,-16.40860000000066,-9.443199999999706,-21.51599999999962
-203.63460000000032,-294.29359999999997,-168.98239999999987,-169.51080000000002,-114.22780000000057,-72.57359999999971,-9.07339999999931,101.29500000000007,33.53739999999925,-160.01820000000043,4.46980000000076,67.25300000000061,-2.164600000000064,-14.443199999999706,99.69839999999931,-50.46240000000034,-90.78000000000065,-100.37299999999959,28.78399999999965,48.031199999999444,20.482200000000375,-11.751399999999194,-39.86880000000019,-201.35020000000077,-90.76579999999922,-48.853800000000774,-62.85360000000037,-15.40860000000066,-8.443199999999706,-21.51599999999962
-203.63460000000032,-294.29359999999997,-169.98239999999987,-168.51080000000002,-113.22780000000057,-72.57359999999971,-9.07339999999931,102.29500000000007,31.537399999999252,-160.01820000000043,4.46980000000076,68.25300000000061,-2.164600000000064,-14.443199999999706,98.69839999999931,-51.46240000000034,-89.78000000000065,-102.37299999999959,28.78399999999965,48.031199999999444,20.482200000000375,-11.751399999999194,-38.86880000000019,-200.35020000000077,-88.76579999999922,-47.853800000000774,-62.85360000000037,-15.40860000000066,-8.443199999999706,-22.51599999999962
-202.63460000000032,-294.29359999999997,-170.98239999999987,-169.51080000000002,-113.22780000000057,-73.57359999999971,-10.07339999999931,103.29500000000007,27.537399999999252,-162.01820000000043,4.46980000000076,68.25300000000061,-2.164600000000064,-14.443199999999706,97.69839999999931,-53.46240000000034,-88.78000000000065,-103.37299999999959,28.78399999999965,47.031199999999444,20.482200000000375,-12.751399999999194,-38.86880000000019,-200.35020000000077,-88.76579999999922,-46.853800000000774,-62.85360000000037,-17.40860000000066,-10.443199999999706,-23.51599999999962
-201.63460000000032,-294.29359999999997,-170.98239999999987,-170.51080000000002,-113.22780000000057,-72.57359999999971,-12.07339999999931,102.29500000000007,24.537399999999252,-164.01820000000043,4.46980000000076,67.25300000000061,-1.164600000000064,-14.443199999999706,96.69839999999931,-55.46240000000034,-85.78000000000065,-104.37299999999959,27.78399999999965,47.031199999999444,19.482200000000375,-14.751399999999194,-38.86880000000019,-201.35020000000077,-89.76579999999922,-45.853800000000774,-62.85360000000037,-19.40860000000066,-12.443199999999706,-23.51599999999962
-202.63460000000032,-294.29359999999997,-171.98239999999987,-171.51080000000002,-113.22780000000057,-71.57359999999971,-13.07339999999931,102.29500000000007,20.537399999999252,-164.01820000000043,5.46980000000076,67.25300000000061,-0.16460000000006403,-13.443199999999706,95.69839999999931,-57.46240000000034,-81.78000000000065,-104.37299999999959,26.78399999999965,47.031199999999444,19.482200000000375,-14.751399999999194,-38.86880000000019,-202.35020000000077,-90.76579999999922,-42.853800000000774,-64.85360000000037,-20.40860000000066,-13.443199999999706,-22.51599999999962
-204.63460000000032,-295.29359999999997,-171.98239999999987,-172.51080000000002,-113.22780000000057,-71.57359999999971,-13.07339999999931,103.29500000000007,18.537399999999252,-164.01820000000043,5.46980000000076,67.25300000000061,-0.16460000000006403,-12.443199999999706,95.69839999999931,-59.46240000000034,-79.78000000000065,-105.37299999999959,26.78399999999965,47.031199999999444,18.482200000000375,-14.751399999999194,-38.86880000000019,-202.35020000000077,-90.76579999999922,-41.853800000000774,-65.85360000000037,-20.40860000000066,-13.443199999999706,-21.51599999999962
-206.63460000000032,-296.29359999999997,-172.98239999999987,-172.51080000000002,-112.22780000000057,-70.57359999999971,-13.07339999999931,103.29500000000007,16.537399999999252,-164.01820000000043,5.46980000000076,68.25300000000061,-1.164600000000064,-12.443199999999706,95.69839999999931,-60.46240000000034,-79.78000000000065,-106.37299999999959,26.78399999999965,46.031199999999444,18.482200000000375,-13.751399999999194,-39.86880000000019,-203.35020000000077,-88.76579999999922,-40.853800000000774,-65.85360000000037,-19.40860000000066,-11.443199999999706,-20.51599999999962
-208.63460000000032,-298.29359999999997,-174.98239999999987,-172.51080000000002,-112.22780000000057,-71.57359999999971,-12.07339999999931,104.29500000000007,14.537399999999252,-165.01820000000043,6.46980000000076,68.25300000000061,-2.164600000000064,-13.443199999999706,94.69839999999931,-62.46240000000034,-79.78000000000065,-109.37299999999959,26.78399999999965,45.031199999999444,18.482200000000375,-13.751399999999194,-38.86880000000019,-203.35020000000077,-85.76579999999922,-40.853800000000774,-65.85360000000037,-19.40860000000066,-10.443199999999706,-21.51599999999962
-209.63460000000032,-299.29359999999997,-175.98239999999987,-173.51080000000002,-111.22780000000057,-72.57359999999971,-11.07339999999931,106.29500000000007,14.537399999999252,-165.01820000000043,6.46980000000076,68.25300000000061,-3.164600000000064,-15.443199999999706,94.69839999999931,-63.46240000000034,-79.78000000000065,-110.37299999999959,25.78399999999965,44.031199999999444,19.482200000000375,-13.751399999999194,-38.86880000000019,-203.35020000000077,-83.76579999999922,-40.853800000000774,-65.85360000000037,-19.40860000000066,-11.443199999999706,-22.51599999999962
-209.63460000000032,-298.29359999999997,-176.98239999999987,-174.51080000000002,-110.22780000000057,-71.57359999999971,-10.07339999999931,107.29500000000007,13.537399999999252,-166.01820000000043,7.46980000000076,67.25300000000061,-2.164600000000064,-15.443199999999706,94.69839999999931,-66.46240000000034,-77.78000000000065,-112.37299999999959,24.78399999999965,44.031199999999444,19.482200000000375,-14.751399999999194,-36.86880000000019,-203.35020000000077,-82.76579999999922,-38.853800000000774,-64.85360000000037,-20.40860000000066,-12.443199999999706,-23.51599999999962
-208.63460000000032,-296.29359999999997,-175.98239999999987,-173.51080000000002,-110.22780000000057,-69.57359999999971,-11.07339999999931,108.29500000000007,12.537399999999252,-167.01820000000043,7.46980000000076,67.25300000000061,-2.164600000000064,-14.443199999999706,95.69839999999931,-68.46240000000034,-75.78000000000065,-112.37299999999959,24.78399999999965,44.031199999999444,19.482200000000375,-14.751399999999194,-35.86880000000019,-203.35020000000077,-83.76579999999922,-37.853800000000774,-64.85360000000037,-20.40860000000066,-12.443199999999706,-23.51599999999962
